Single Year of Age,Female,Male,Difference,AbsDifference,Higher
0,56372,59220,2848,2848,Male
1,55090,57750,2660,2660,Male
2,57948,60472,2524,2524,Male
3,58966,62002,3036,3036,Male
4,59638,63372,3734,3734,Male
5,62684,65368,2684,2684,Male
6,65244,68184,2940,2940,Male
7,67144,70858,3714,3714,Male
8,68874,72592,3718,3718,Male
9,70454,73938,3484,3484,Male
10,72132,76070,3938,3938,Male
11,73726,76592,2866,2866,Male
12,74594,77914,3320,3320,Male
13,73564,76948,3384,3384,Male
14,72160,74704,2544,2544,Male
15,68984,71896,2912,2912,Male
16,66336,69292,2956,2956,Male
17,66090,69962,3872,3872,Male
18,65704,67800,2096,2096,Male
19,63458,65734,2276,2276,Male
20,63248,64240,992,992,Male
21,59780,61542,1762,1762,Male
22,61536,62900,1364,1364,Male
23,60102,61742,1640,1640,Male
24,58728,60468,1740,1740,Male
25,58588,59938,1350,1350,Male
26,57728,58752,1024,1024,Male
27,59056,58324,-732,732,Female
28,59576,57804,-1772,1772,Female
29,61872,59978,-1894,1894,Female
30,65682,61716,-3966,3966,Female
31,67420,64474,-2946,2946,Female
32,68764,64826,-3938,3938,Female
33,68978,63776,-5202,5202,Female
34,72568,66242,-6326,6326,Female
35,75880,69390,-6490,6490,Female
36,78060,71656,-6404,6404,Female
37,78386,72854,-5532,5532,Female
38,81804,75026,-6778,6778,Female
39,85184,77498,-7686,7686,Female
40,86286,80602,-5684,5684,Female
41,87392,82802,-4590,4590,Female
42,86674,83288,-3386,3386,Female
43,82816,78550,-4266,4266,Female
44,78758,75880,-2878,2878,Female
45,77012,75420,-1592,1592,Female
46,76254,74578,-1676,1676,Female
47,74942,74106,-836,836,Female
48,74290,72944,-1346,1346,Female
49,74162,73300,-862,862,Female
50,72398,72100,-298,298,Female
51,70050,69852,-198,198,Female
52,68828,68712,-116,116,Female
53,64408,65222,814,814,Male
54,64336,64100,-236,236,Female
55,63126,62706,-420,420,Female
56,62558,61368,-1190,1190,Female
57,63528,61782,-1746,1746,Female
58,61320,59550,-1770,1770,Female
59,60000,58392,-1608,1608,Female
60,58126,56910,-1216,1216,Female
61,57712,55698,-2014,2014,Female
62,55798,54232,-1566,1566,Female
63,52624,51768,-856,856,Female
64,52218,50254,-1964,1964,Female
65,50366,49800,-566,566,Female
66,49324,47518,-1806,1806,Female
67,49048,47254,-1794,1794,Female
68,46036,45004,-1032,1032,Female
69,46750,45188,-1562,1562,Female
70,43794,42506,-1288,1288,Female
71,42472,40898,-1574,1574,Female
72,42318,39930,-2388,2388,Female
73,40268,38242,-2026,2026,Female
74,38354,36986,-1368,1368,Female
75,36588,34946,-1642,1642,Female
76,35330,32188,-3142,3142,Female
77,31942,29202,-2740,2740,Female
78,29332,26784,-2548,2548,Female
79,27876,24332,-3544,3544,Female
80,24346,21348,-2998,2998,Female
81,22382,18940,-3442,3442,Female
82,21518,17558,-3960,3960,Female
83,19970,15800,-4170,4170,Female
84,17780,13530,-4250,4250,Female
85,16606,12308,-4298,4298,Female
86,15002,10740,-4262,4262,Female
87,13532,9030,-4502,4502,Female
88,11854,7542,-4312,4312,Female
89,9922,6072,-3850,3850,Female
90,8570,4888,-3682,3682,Female
91,7562,3900,-3662,3662,Female
92,5618,2594,-3024,3024,Female
93,4640,1874,-2766,2766,Female
94,3474,1436,-2038,2038,Female
95,2688,964,-1724,1724,Female
96,1912,654,-1258,1258,Female
97,1464,434,-1030,1030,Female
98,984,260,-724,724,Female
99,672,210,-462,462,Female
100,1168,308,-860,860,Female
