County,VALUE
Co. Cork,287.54901960784315
Co. Clare,185.67320261437908
Co. Kerry,180.8421052631579
Co. Mayo,143.76582278481013
Co. Galway,136.88387096774193
Co. Roscommon,135.28313253012047
Co. Tipperary,133.26490066225165
Co. Leitrim,120.72
Co. Cavan,101.17647058823529
Co. Limerick,96.14379084967321
Co. Kilkenny,83.7248322147651
Co. Sligo,80.32666666666667
Co. Westmeath,79.33566433566433
Co. Offaly,72.85106382978724
Co. Longford,71.74
Co. Wexford,63.86486486486486
Co. Waterford,61.053333333333335
Co. Wicklow,56.333333333333336
Co. Laois,53.34306569343066
Co. Meath,46.65972222222222
Co. Donegal,39.916666666666664
Co. Monaghan,31.93793103448276
Co. Kildare,31.098591549295776
Co. Carlow,21.341269841269842
Co. Louth,17.29090909090909
Co. Dublin,6.804878048780488
