County,Year,count,mean,std,min,25%,50%,75%,max
Co. Carlow,2007,6.0,28.333333333333332,11.910779431534557,17.0,19.0,25.0,38.5,43.0
Co. Carlow,2008,6.0,32.666666666666664,18.118130882258985,10.0,17.25,39.0,46.5,49.0
Co. Carlow,2009,6.0,31.333333333333332,12.209286083414815,22.0,22.75,25.0,41.5,47.0
Co. Carlow,2010,9.0,44.55555555555556,37.779330033469066,0.0,3.0,46.0,55.0,100.0
Co. Carlow,2011,8.0,10.625,8.534593470944337,2.0,2.75,10.5,17.5,21.0
Co. Carlow,2012,6.0,48.666666666666664,22.384518459566348,23.0,29.75,50.0,67.25,73.0
Co. Carlow,2013,8.0,22.25,17.235760168075807,1.0,10.75,22.0,34.0,44.0
Co. Carlow,2014,6.0,10.0,5.585696017507576,3.0,5.25,12.0,14.25,15.0
Co. Carlow,2015,6.0,54.666666666666664,28.904440258663833,19.0,30.0,63.0,77.25,82.0
Co. Carlow,2016,9.0,20.22222222222222,13.045859283483187,5.0,12.0,17.0,28.0,46.0
Co. Carlow,2017,9.0,27.77777777777778,21.040305236484677,3.0,13.0,16.0,46.0,62.0
Co. Carlow,2018,9.0,11.333333333333334,8.602325267042627,0.0,4.0,12.0,13.0,26.0
Co. Carlow,2019,8.0,11.0,8.717797887081348,1.0,4.0,11.0,17.25,22.0
Co. Carlow,2020,9.0,2.6666666666666665,2.0,0.0,1.0,2.0,4.0,6.0
Co. Carlow,2021,6.0,6.0,3.22490309931942,2.0,3.25,7.0,8.5,9.0
Co. Carlow,2022,6.0,2.6666666666666665,1.0327955589886446,2.0,2.0,2.0,3.5,4.0
Co. Carlow,2023,9.0,10.333333333333334,7.516648189186454,1.0,4.0,10.0,13.0,24.0
Co. Cavan,2007,9.0,133.33333333333334,124.59032867763051,3.0,30.0,46.0,254.0,300.0
Co. Cavan,2008,9.0,87.55555555555556,78.74184261101449,0.0,1.0,72.0,125.0,197.0
Co. Cavan,2009,9.0,115.55555555555556,93.22165938116409,12.0,33.0,84.0,176.0,260.0
Co. Cavan,2010,9.0,107.77777777777777,88.71975227898488,2.0,14.0,107.0,136.0,243.0
Co. Cavan,2011,9.0,90.77777777777777,73.87959423578641,5.0,17.0,75.0,129.0,204.0
Co. Cavan,2012,9.0,76.11111111111111,67.52674367323743,5.0,10.0,49.0,123.0,171.0
Co. Cavan,2013,9.0,93.33333333333333,82.85529554590944,2.0,12.0,58.0,152.0,210.0
Co. Cavan,2014,9.0,107.0,105.91506030777681,0.0,1.0,50.0,191.0,241.0
Co. Cavan,2015,9.0,123.11111111111111,98.17133548603232,11.0,48.0,59.0,218.0,277.0
Co. Cavan,2016,9.0,188.88888888888889,127.99652773068148,43.0,89.0,170.0,213.0,425.0
Co. Cavan,2017,9.0,140.77777777777777,96.37398219667196,22.0,69.0,129.0,188.0,317.0
Co. Cavan,2018,9.0,142.55555555555554,102.0111649662809,26.0,69.0,108.0,213.0,321.0
