County,VALUE
Co. Cork,43995.0
Co. Clare,28408.0
Co. Kerry,27488.0
Co. Mayo,22715.0
Co. Roscommon,22457.0
Co. Galway,21217.0
Co. Tipperary,20123.0
Co. Leitrim,18108.0
Co. Cavan,15480.0
Co. Limerick,14710.0
Co. Kilkenny,12475.0
Co. Sligo,12049.0
Co. Westmeath,11345.0
Co. Longford,10761.0
Co. Offaly,10272.0
Co. Wexford,9452.0
Co. Waterford,9158.0
Co. Wicklow,8450.0
Co. Laois,7308.0
Co. Meath,6719.0
Co. Donegal,5748.0
Co. Monaghan,4631.0
Co. Kildare,4416.0
Co. Carlow,2689.0
Co. Louth,1902.0
Co. Dublin,558.0
