Statistic Label,Year,County,Species,Forest Owner,UNIT,VALUE
Afforestation Area,2007,Co. Carlow,Total Afforestation,Total Afforestation,Hectares,43.0
Afforestation Area,2007,Co. Carlow,Total Afforestation,Farmer,Hectares,43.0
Afforestation Area,2007,Co. Carlow,Total Afforestation,Non-Farmer,Hectares,
Afforestation Area,2007,Co. Carlow,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Carlow,Broadleaf,Total Afforestation,Hectares,17.0
Afforestation Area,2007,Co. Carlow,Broadleaf,Farmer,Hectares,17.0
Afforestation Area,2007,Co. Carlow,Broadleaf,Non-Farmer,Hectares,
Afforestation Area,2007,Co. Carlow,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Carlow,Conifer,Total Afforestation,Hectares,25.0
Afforestation Area,2007,Co. Carlow,Conifer,Farmer,Hectares,25.0
Afforestation Area,2007,Co. Carlow,Conifer,Non-Farmer,Hectares,
Afforestation Area,2007,Co. Carlow,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Cavan,Total Afforestation,Total Afforestation,Hectares,300.0
Afforestation Area,2007,Co. Cavan,Total Afforestation,Farmer,Hectares,270.0
Afforestation Area,2007,Co. Cavan,Total Afforestation,Non-Farmer,Hectares,30.0
Afforestation Area,2007,Co. Cavan,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Cavan,Broadleaf,Total Afforestation,Hectares,46.0
Afforestation Area,2007,Co. Cavan,Broadleaf,Farmer,Hectares,44.0
Afforestation Area,2007,Co. Cavan,Broadleaf,Non-Farmer,Hectares,3.0
Afforestation Area,2007,Co. Cavan,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Cavan,Conifer,Total Afforestation,Hectares,254.0
Afforestation Area,2007,Co. Cavan,Conifer,Farmer,Hectares,226.0
Afforestation Area,2007,Co. Cavan,Conifer,Non-Farmer,Hectares,27.0
Afforestation Area,2007,Co. Cavan,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Clare,Total Afforestation,Total Afforestation,Hectares,669.0
Afforestation Area,2007,Co. Clare,Total Afforestation,Farmer,Hectares,629.0
Afforestation Area,2007,Co. Clare,Total Afforestation,Non-Farmer,Hectares,40.0
Afforestation Area,2007,Co. Clare,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Clare,Broadleaf,Total Afforestation,Hectares,232.0
Afforestation Area,2007,Co. Clare,Broadleaf,Farmer,Hectares,217.0
Afforestation Area,2007,Co. Clare,Broadleaf,Non-Farmer,Hectares,15.0
Afforestation Area,2007,Co. Clare,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Clare,Conifer,Total Afforestation,Hectares,436.0
Afforestation Area,2007,Co. Clare,Conifer,Farmer,Hectares,411.0
Afforestation Area,2007,Co. Clare,Conifer,Non-Farmer,Hectares,25.0
Afforestation Area,2007,Co. Clare,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Cork,Total Afforestation,Total Afforestation,Hectares,1024.0
Afforestation Area,2007,Co. Cork,Total Afforestation,Farmer,Hectares,987.0
Afforestation Area,2007,Co. Cork,Total Afforestation,Non-Farmer,Hectares,37.0
Afforestation Area,2007,Co. Cork,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Cork,Broadleaf,Total Afforestation,Hectares,419.0
Afforestation Area,2007,Co. Cork,Broadleaf,Farmer,Hectares,406.0
Afforestation Area,2007,Co. Cork,Broadleaf,Non-Farmer,Hectares,13.0
Afforestation Area,2007,Co. Cork,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Cork,Conifer,Total Afforestation,Hectares,606.0
Afforestation Area,2007,Co. Cork,Conifer,Farmer,Hectares,581.0
Afforestation Area,2007,Co. Cork,Conifer,Non-Farmer,Hectares,24.0
Afforestation Area,2007,Co. Cork,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Donegal,Total Afforestation,Total Afforestation,Hectares,321.0
Afforestation Area,2007,Co. Donegal,Total Afforestation,Farmer,Hectares,300.0
Afforestation Area,2007,Co. Donegal,Total Afforestation,Non-Farmer,Hectares,21.0
Afforestation Area,2007,Co. Donegal,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Donegal,Broadleaf,Total Afforestation,Hectares,49.0
Afforestation Area,2007,Co. Donegal,Broadleaf,Farmer,Hectares,46.0
Afforestation Area,2007,Co. Donegal,Broadleaf,Non-Farmer,Hectares,3.0
Afforestation Area,2007,Co. Donegal,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Donegal,Conifer,Total Afforestation,Hectares,271.0
Afforestation Area,2007,Co. Donegal,Conifer,Farmer,Hectares,254.0
Afforestation Area,2007,Co. Donegal,Conifer,Non-Farmer,Hectares,17.0
Afforestation Area,2007,Co. Donegal,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Dublin,Total Afforestation,Total Afforestation,Hectares,18.0
Afforestation Area,2007,Co. Dublin,Total Afforestation,Farmer,Hectares,16.0
Afforestation Area,2007,Co. Dublin,Total Afforestation,Non-Farmer,Hectares,2.0
Afforestation Area,2007,Co. Dublin,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Dublin,Broadleaf,Total Afforestation,Hectares,10.0
Afforestation Area,2007,Co. Dublin,Broadleaf,Farmer,Hectares,10.0
Afforestation Area,2007,Co. Dublin,Broadleaf,Non-Farmer,Hectares,
Afforestation Area,2007,Co. Dublin,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Dublin,Conifer,Total Afforestation,Hectares,8.0
Afforestation Area,2007,Co. Dublin,Conifer,Farmer,Hectares,6.0
Afforestation Area,2007,Co. Dublin,Conifer,Non-Farmer,Hectares,2.0
Afforestation Area,2007,Co. Dublin,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Galway,Total Afforestation,Total Afforestation,Hectares,403.0
Afforestation Area,2007,Co. Galway,Total Afforestation,Farmer,Hectares,360.0
Afforestation Area,2007,Co. Galway,Total Afforestation,Non-Farmer,Hectares,44.0
Afforestation Area,2007,Co. Galway,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Galway,Broadleaf,Total Afforestation,Hectares,73.0
Afforestation Area,2007,Co. Galway,Broadleaf,Farmer,Hectares,64.0
Afforestation Area,2007,Co. Galway,Broadleaf,Non-Farmer,Hectares,8.0
Afforestation Area,2007,Co. Galway,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Galway,Conifer,Total Afforestation,Hectares,331.0
Afforestation Area,2007,Co. Galway,Conifer,Farmer,Hectares,295.0
Afforestation Area,2007,Co. Galway,Conifer,Non-Farmer,Hectares,35.0
Afforestation Area,2007,Co. Galway,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Kerry,Total Afforestation,Total Afforestation,Hectares,549.0
Afforestation Area,2007,Co. Kerry,Total Afforestation,Farmer,Hectares,523.0
Afforestation Area,2007,Co. Kerry,Total Afforestation,Non-Farmer,Hectares,26.0
Afforestation Area,2007,Co. Kerry,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Kerry,Broadleaf,Total Afforestation,Hectares,200.0
Afforestation Area,2007,Co. Kerry,Broadleaf,Farmer,Hectares,194.0
Afforestation Area,2007,Co. Kerry,Broadleaf,Non-Farmer,Hectares,7.0
Afforestation Area,2007,Co. Kerry,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Kerry,Conifer,Total Afforestation,Hectares,348.0
Afforestation Area,2007,Co. Kerry,Conifer,Farmer,Hectares,329.0
Afforestation Area,2007,Co. Kerry,Conifer,Non-Farmer,Hectares,19.0
Afforestation Area,2007,Co. Kerry,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Kildare,Total Afforestation,Total Afforestation,Hectares,79.0
Afforestation Area,2007,Co. Kildare,Total Afforestation,Farmer,Hectares,77.0
Afforestation Area,2007,Co. Kildare,Total Afforestation,Non-Farmer,Hectares,1.0
Afforestation Area,2007,Co. Kildare,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Kildare,Broadleaf,Total Afforestation,Hectares,28.0
Afforestation Area,2007,Co. Kildare,Broadleaf,Farmer,Hectares,27.0
Afforestation Area,2007,Co. Kildare,Broadleaf,Non-Farmer,Hectares,1.0
Afforestation Area,2007,Co. Kildare,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Kildare,Conifer,Total Afforestation,Hectares,50.0
Afforestation Area,2007,Co. Kildare,Conifer,Farmer,Hectares,50.0
Afforestation Area,2007,Co. Kildare,Conifer,Non-Farmer,Hectares,
Afforestation Area,2007,Co. Kildare,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Kilkenny,Total Afforestation,Total Afforestation,Hectares,229.0
Afforestation Area,2007,Co. Kilkenny,Total Afforestation,Farmer,Hectares,227.0
Afforestation Area,2007,Co. Kilkenny,Total Afforestation,Non-Farmer,Hectares,2.0
Afforestation Area,2007,Co. Kilkenny,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Kilkenny,Broadleaf,Total Afforestation,Hectares,91.0
Afforestation Area,2007,Co. Kilkenny,Broadleaf,Farmer,Hectares,89.0
Afforestation Area,2007,Co. Kilkenny,Broadleaf,Non-Farmer,Hectares,1.0
Afforestation Area,2007,Co. Kilkenny,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Kilkenny,Conifer,Total Afforestation,Hectares,138.0
Afforestation Area,2007,Co. Kilkenny,Conifer,Farmer,Hectares,137.0
Afforestation Area,2007,Co. Kilkenny,Conifer,Non-Farmer,Hectares,1.0
Afforestation Area,2007,Co. Kilkenny,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Laois,Total Afforestation,Total Afforestation,Hectares,144.0
Afforestation Area,2007,Co. Laois,Total Afforestation,Farmer,Hectares,144.0
Afforestation Area,2007,Co. Laois,Total Afforestation,Non-Farmer,Hectares,
Afforestation Area,2007,Co. Laois,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Laois,Broadleaf,Total Afforestation,Hectares,37.0
Afforestation Area,2007,Co. Laois,Broadleaf,Farmer,Hectares,37.0
Afforestation Area,2007,Co. Laois,Broadleaf,Non-Farmer,Hectares,
Afforestation Area,2007,Co. Laois,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Laois,Conifer,Total Afforestation,Hectares,107.0
Afforestation Area,2007,Co. Laois,Conifer,Farmer,Hectares,107.0
Afforestation Area,2007,Co. Laois,Conifer,Non-Farmer,Hectares,
Afforestation Area,2007,Co. Laois,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Leitrim,Total Afforestation,Total Afforestation,Hectares,191.0
Afforestation Area,2007,Co. Leitrim,Total Afforestation,Farmer,Hectares,151.0
Afforestation Area,2007,Co. Leitrim,Total Afforestation,Non-Farmer,Hectares,40.0
Afforestation Area,2007,Co. Leitrim,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Leitrim,Broadleaf,Total Afforestation,Hectares,73.0
Afforestation Area,2007,Co. Leitrim,Broadleaf,Farmer,Hectares,68.0
Afforestation Area,2007,Co. Leitrim,Broadleaf,Non-Farmer,Hectares,5.0
Afforestation Area,2007,Co. Leitrim,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Leitrim,Conifer,Total Afforestation,Hectares,117.0
Afforestation Area,2007,Co. Leitrim,Conifer,Farmer,Hectares,82.0
Afforestation Area,2007,Co. Leitrim,Conifer,Non-Farmer,Hectares,35.0
Afforestation Area,2007,Co. Leitrim,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Limerick,Total Afforestation,Total Afforestation,Hectares,373.0
Afforestation Area,2007,Co. Limerick,Total Afforestation,Farmer,Hectares,317.0
Afforestation Area,2007,Co. Limerick,Total Afforestation,Non-Farmer,Hectares,56.0
Afforestation Area,2007,Co. Limerick,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Limerick,Broadleaf,Total Afforestation,Hectares,134.0
Afforestation Area,2007,Co. Limerick,Broadleaf,Farmer,Hectares,114.0
Afforestation Area,2007,Co. Limerick,Broadleaf,Non-Farmer,Hectares,20.0
Afforestation Area,2007,Co. Limerick,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Limerick,Conifer,Total Afforestation,Hectares,238.0
Afforestation Area,2007,Co. Limerick,Conifer,Farmer,Hectares,203.0
Afforestation Area,2007,Co. Limerick,Conifer,Non-Farmer,Hectares,36.0
Afforestation Area,2007,Co. Limerick,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Longford,Total Afforestation,Total Afforestation,Hectares,124.0
Afforestation Area,2007,Co. Longford,Total Afforestation,Farmer,Hectares,119.0
Afforestation Area,2007,Co. Longford,Total Afforestation,Non-Farmer,Hectares,5.0
Afforestation Area,2007,Co. Longford,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Longford,Broadleaf,Total Afforestation,Hectares,25.0
Afforestation Area,2007,Co. Longford,Broadleaf,Farmer,Hectares,25.0
Afforestation Area,2007,Co. Longford,Broadleaf,Non-Farmer,Hectares,0.0
Afforestation Area,2007,Co. Longford,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Longford,Conifer,Total Afforestation,Hectares,98.0
Afforestation Area,2007,Co. Longford,Conifer,Farmer,Hectares,94.0
Afforestation Area,2007,Co. Longford,Conifer,Non-Farmer,Hectares,4.0
Afforestation Area,2007,Co. Longford,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Louth,Total Afforestation,Total Afforestation,Hectares,55.0
Afforestation Area,2007,Co. Louth,Total Afforestation,Farmer,Hectares,55.0
Afforestation Area,2007,Co. Louth,Total Afforestation,Non-Farmer,Hectares,
Afforestation Area,2007,Co. Louth,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Louth,Broadleaf,Total Afforestation,Hectares,28.0
Afforestation Area,2007,Co. Louth,Broadleaf,Farmer,Hectares,28.0
Afforestation Area,2007,Co. Louth,Broadleaf,Non-Farmer,Hectares,
Afforestation Area,2007,Co. Louth,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Louth,Conifer,Total Afforestation,Hectares,27.0
Afforestation Area,2007,Co. Louth,Conifer,Farmer,Hectares,27.0
Afforestation Area,2007,Co. Louth,Conifer,Non-Farmer,Hectares,
Afforestation Area,2007,Co. Louth,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Mayo,Total Afforestation,Total Afforestation,Hectares,402.0
Afforestation Area,2007,Co. Mayo,Total Afforestation,Farmer,Hectares,389.0
Afforestation Area,2007,Co. Mayo,Total Afforestation,Non-Farmer,Hectares,13.0
Afforestation Area,2007,Co. Mayo,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Mayo,Broadleaf,Total Afforestation,Hectares,77.0
Afforestation Area,2007,Co. Mayo,Broadleaf,Farmer,Hectares,75.0
Afforestation Area,2007,Co. Mayo,Broadleaf,Non-Farmer,Hectares,2.0
Afforestation Area,2007,Co. Mayo,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Mayo,Conifer,Total Afforestation,Hectares,324.0
Afforestation Area,2007,Co. Mayo,Conifer,Farmer,Hectares,313.0
Afforestation Area,2007,Co. Mayo,Conifer,Non-Farmer,Hectares,11.0
Afforestation Area,2007,Co. Mayo,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Meath,Total Afforestation,Total Afforestation,Hectares,42.0
Afforestation Area,2007,Co. Meath,Total Afforestation,Farmer,Hectares,37.0
Afforestation Area,2007,Co. Meath,Total Afforestation,Non-Farmer,Hectares,5.0
Afforestation Area,2007,Co. Meath,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Meath,Broadleaf,Total Afforestation,Hectares,19.0
Afforestation Area,2007,Co. Meath,Broadleaf,Farmer,Hectares,14.0
Afforestation Area,2007,Co. Meath,Broadleaf,Non-Farmer,Hectares,5.0
Afforestation Area,2007,Co. Meath,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Meath,Conifer,Total Afforestation,Hectares,23.0
Afforestation Area,2007,Co. Meath,Conifer,Farmer,Hectares,23.0
Afforestation Area,2007,Co. Meath,Conifer,Non-Farmer,Hectares,0.0
Afforestation Area,2007,Co. Meath,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Monaghan,Total Afforestation,Total Afforestation,Hectares,70.0
Afforestation Area,2007,Co. Monaghan,Total Afforestation,Farmer,Hectares,69.0
Afforestation Area,2007,Co. Monaghan,Total Afforestation,Non-Farmer,Hectares,1.0
Afforestation Area,2007,Co. Monaghan,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Monaghan,Broadleaf,Total Afforestation,Hectares,13.0
Afforestation Area,2007,Co. Monaghan,Broadleaf,Farmer,Hectares,12.0
